id,text,label,source
ag_18142,"Haft Married Companion 2 Weeks Before He Died Two weeks before he died, discount retailer Herbert H. Haft quietly married his longtime companion in a hospital ceremony that provided yet another twist in a bitter and very public family feud.",0,ag_news
ag_102450,"Rising Canadian dollars to test Canadian economy The record surge in the value of the Canadian dollar is going to test the Canadian economy, financial analysts here warned. The Canadian dollar, after briefly rose above 85 US",0,ag_news
elife_1819,Development of antibody-dependent cell cytotoxicity function in HIV-1 antibodies,1,elife
20ng_12367,"Okay, here's the entry sheet.  Keep in mind that not all spots are
decided, so it may change.

     Series  			Your Pick		Games

  Division Semis

NY Islanders-Pittsburgh
New Jersey-Washington

Buffalo-Boston
Montreal-Quebec

St. Louis-Chicago
Toronto-Detroit

Winnipeg-Vancouver
Los Angeles-Calgary

  Division Finals

Patrick
Adams
Norris
Smythe

  Conference Finals

Wales
Campbell


Stanley Cup winner


See previous post for scoring.  Good luck!

--
    Keith Keller				LET'S GO RANGERS!!!!!
						LET'S GO QUAKERS!!!!!
	kkeller@mail.sas.upenn.edu		IVY LEAGUE CHAMPS!!!!",0,20newsgroups
elife_174,"Genetic variation, environment and demography intersect to shape Arabidopsis defense metabolite variation across Europe",1,elife
ag_76082,"International charity CARE closes Iraq operations AMMAN, Oct 28 (AFP) - The international charity CARE has shut down its operations in Iraq following the abduction last week of its director there, Briton Margaret Hassan, spokesman Arnoud Hekkens said in Jordan Thursday.",0,ag_news
elife_749,SLY1 and Syntaxin 18 specify a distinct pathway for procollagen VII export from the endoplasmic reticulum,1,elife
elife_436,Stella modulates transcriptional and endogenous retrovirus programs during maternal-to-zygotic transition,1,elife
ag_70197,"UM in command of ACC RALEIGH, NC  The North Carolina state fair was taking place less than a half-mile from Carter-Finley Stadium, but it was the Miami Hurricanes who provided most of the fireworks Saturday night.",0,ag_news
elife_309,Recombination occurs within minutes of replication blockage by RTS1 producing restarted forks that are prone to collapse,1,elife
elife_583,The splicing regulator PTBP2 controls a program of embryonic splicing required for neuronal maturation,1,elife
ag_46592,"Tivo, Netflix star in double feature Two Silicon Valley companies that have already become household names in tech savvy homes are working together to bring movies to the home digitally.",0,ag_news
ag_118742,"NBA Game Summary - LA Lakers at Sacramento Sacramento, CA (Sports Network) - Kobe Bryant tallied 31 points, 12 assists and six rebounds to lead the Los Angeles Lakers to a 115-99 victory over the Sacramento Kings at ARCO Arena.",0,ag_news
elife_259,Controlling protein function by fine-tuning conformational flexibility,1,elife
elife_1438,Distinct roles of NMDA receptors at different stages of granule cell development in the adult brain,1,elife
ag_79249,"Gmail Security Flaw Discovered A security hole in Google #39;s Gmail service, which reportedly made it easy for hackers to access users #39; e-mail, has been corrected, Google says.",0,ag_news
elife_854,Tyrosine phosphorylation of RNA polymerase II CTD is associated with antisense promoter transcription and active enhancers in mammalian cells,1,elife
ag_7947,"Ex-Hornets Executive Sentenced for Fraud (AP) AP - Spencer Stolpen, former president of the NBA's Charlotte Hornets, was sentenced to 15 months in prison Monday for scheming to defraud banks to pay off his mounting debts.",0,ag_news
20ng_8029,"I've got a 386DX-40, 4MB and I'm using Windows 3.1. Sometimes I wondered why 
Windows worked endlessly on my HD when I was doing nothing (execpt having lunch
or something like that). Then I turned this virtual memory swapfile off, and
Windows became quite faster, but now having less memory free. And so I'm still
wondering, why windows is reading everything from virtual memory when the
convertional is sufficient? Any common-sense-explanation is really appreciated.",0,20newsgroups
ag_104485,"Photo: Bashing bioterror ""Hazmat:Hotzone"" is a networked multiplayer simulation that trains first responders to a terrorist attack.",0,ag_news
elife_1302,Requirement of myomaker-mediated stem cell fusion for skeletal muscle hypertrophy,1,elife
elife_1567,A neural command circuit for grooming movement control,1,elife
elife_1554,"A homozygous loss-of-function CAMK2A mutation causes growth delay, frequent seizures and severe intellectual disability",1,elife
elife_1499,Freshwater monitoring by nanopore sequencing,1,elife
elife_489,Valosin-containing protein (VCP/p97) inhibitors relieve Mitofusin-dependent mitochondrial defects due to VCP disease mutants,1,elife
elife_1375,Glial Nrf2 signaling mediates the neuroprotection exerted by Gastrodia elata Blume in Lrrk2-G2019S Parkinson’s disease,1,elife
ag_89784,"Palestinians Look to Future Without Arafat A day after Yasser Arafat was buried, Palestinians began taking stock of a future without the man who led their fight for independence, while Europe and the US look at ways to revive the stalled peace process.",0,ag_news
elife_634,Small molecule proteostasis regulators that reprogram the ER to reduce extracellular protein aggregation,1,elife
elife_1434,Improved use of a public good selects for the evolution of undifferentiated multicellularity,1,elife
ag_69266,Brazil Reacts Angrily to Report on Nukes (AP) AP - Brazil on Friday denounced a U.S. magazine report saying Brazil's uranium enrichment plant will give it the potential to build nuclear warheads.,0,ag_news
elife_805,Functional diversity of excitatory commissural interneurons in adult zebrafish,1,elife
ag_53163,"Bank keeps interest rates on hold THE Bank of England #39;s monetary policy committee kept Britain #39;s 11m homebuyers, businesses and the City happy today when it left interest rates on hold at 4.75 for the second month in a row.",0,ag_news
ag_43688,"2Q Economic Growth Pegged at 3.3 The U.S. economy grew at an annual rate of 3.3 percent in the spring, the government reported Wednesday. That was significantly better than a previous estimate but still the weakest showing in more than a year.",0,ag_news
ag_44160,Cendant buying Orbitz.com in \$1.25B deal Travel and hospitality company Cendant Corp. today announced plans to acquire online travel vendor Orbitz.com for approximately \$1.25 billion.,0,ag_news
ag_90946,"Sun to Roll Out Free Solaris OS Hoping to attract developers and customers, Sun Microsystems will announce its next-generating operating system will be offered for free. The company spent roughly \$500 million and years of development time on the software.",0,ag_news
elife_1970,Structure of the chromatin remodelling enzyme Chd1 bound to a ubiquitinylated nucleosome,1,elife
ag_122656,"Cowboys Defeat Redskins 21-18 LANDOVER, Md. - Bill Parcells celebrated the touchdown with a big smile and his fist thrust high in the air...",0,ag_news
elife_334,Timing mechanism of sexually dimorphic nervous system differentiation,1,elife
elife_1333,"Human biallelic MFN2 mutations induce mitochondrial dysfunction, upper body adipose hyperplasia, and suppression of leptin expression",1,elife
20ng_16124,"The immunization program is just a ""useful first step"". Among other
    things, the money will go to pay for creating and maintaning a
    a computerized ""innoculation"" database on all U.S. children.
    (code-named Big Mother... Just kidding, the name will be Children
    Defense Database, or something like that.)

    Once the money is spent and little or no tangible results achieved, 
    the goverment will have to start knocking down doors, in some 
    neigborhoods, and bribe parents in others (probably the ones that 
    are paying kids for attending the school - what a fantastic idea!)



-- 
------------------------------------------------------------------------------------------
Disclaimer: Opinions expressed are mine, not my employer's.",0,20newsgroups
ag_31338,New MyDoom Taunts Arrested Competitor A new MyDoom worm released this week taunts the just-charged author of a rival malware line by including his mug shot. MyDoom.y -- but also called MyDoom.,0,ag_news
elife_1416,Uncoupling apical constriction from tissue invagination,1,elife
elife_1762,"TMEM87a/Elkin1, a component of a novel mechanoelectrical transduction pathway, modulates melanoma adhesion and migration",1,elife
ag_30444,"Padres Blank Dodgers 3-0 (AP) AP - Adam Eaton allowed five hits over seven innings for his career-high 10th victory, Brian Giles homered for the second straight game, and the San Diego Padres beat the Los Angeles Dodgers 3-0 Thursday night.",0,ag_news
elife_2056,NMNAT promotes glioma growth through regulating post-translational modifications of P53 to inhibit apoptosis,1,elife
elife_1959,A predictive model of asymmetric morphogenesis from 3D reconstructions of mouse heart looping dynamics,1,elife
elife_319,The splicing regulators Esrp1 and Esrp2 direct an epithelial splicing program essential for mammalian development,1,elife
ag_33594,"PeopleSoft #39;s Prospects Top Agenda at Show SEPTEMBER 20, 2004 (COMPUTERWORLD) - At PeopleSoft Inc. #39;s Connect 2004 conference in San Francisco this week, the software vendor is expected to face questions from users about its ability to fend off Oracle Corp.",0,ag_news
ag_114232,"PeopleSoft Relents, Agrees Oracle Bid  NEW YORK (Reuters) - Oracle Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORCL.O target=/stocks/quickinfo/fullquote""&gt;ORCL.O&lt;/A&gt; on Monday said  rival business software maker PeopleSoft Inc.'s &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=PSFT.O target=/stocks/quickinfo/fullquote""&gt;PSFT.O&lt;/A&gt; board  has accepted a sweetened purchase offer of about \$10.3 billion,  ending a long and bitter hostile takeover battle.",0,ag_news
20ng_17144,"SSRT ROLLOUT

                Speech Delivered by Col. Simon P. Worden,
                     The Deputy for Technology, SDIO
                                    
                  Mcdonnell Douglas - Huntington Beach
                              April 3,1993

     Most of you, as am I, are ""children of the 1960's.""  We grew
up in an age of miracles -- Inter-Continental Ballistic Missiles,
nuclear energy, computers, flights to the moon.  But these were
miracles of our parent's doing.  For a decade and more the pundits
have told us - ""you've lost it!""  The ""me"" generation is only
living on the accomplishments of the past.

     You and I have even begun to believe the pessimists.  We
listen in awe as the past generation tells of its triumphs.  Living
history they are.  We are privileged to hear those who did it tell
of it.  A few weeks ago some of this very team listened in awe as
General Bernie Schriever told of his team's work - and yes struggle
- to build this nation's Intercontinental Ballistic Missile.

     What stories can we tell?  Blurry-eyed telescopes?  Thousand
dollar toilet seats?  Even our space launch vehicles hearken only
of that past great time.  They are and seem destined to remain Gen.
Schriever's ICBMs.  I find it hard to swell with pride that the
best new space-lifter idea is to refurbish old Minuteman and
Poseidon ballistic missiles.

     Well - The pessimists are wrong.  The legacy is continuing. 
This event is proof.  To our technological parents: We've listened
to your stories.  We've caught your enthusiasm and can-do spirit. 
And we've learned from your achievements - and your mistakes.  Let
me honor one of you who was part of that history and the impetus
behind this history - Max Hunter.  You are one of the greatest
engineers of the firts great age of space exploration.  Your
insight and discipline built the Thor ICBM - later incorporated
into today's most successful launch vehicle - The Delta.

     You told us in the 60's that a new form of launch vehicle - a
single stage reusable rocket - can and should be built.  You
advocated this idea tirelessly.  It was elegantly simple, as are
all great breakthroughs.  You showed us how to build it.  You
convinced us it could be done.  You are working by our side to weld
its components into place.  Most important - you reminded us of a
prime engineering principle - undoubtably one you learned from the
generation before you - the generation that built transcontinental
aviation in the 1920's and 30's - build a little and test a little
and Max, you passed all of this on  to people like Pat Ladner who
started this program for the SDI.

     Douglas Aircraft didn't start with a DC-10.  They didn't even
start with a DC-3.  Our grandfathers built a little, tested a
little - even sold a little and made a little money - before they
moved on to the next step.  They didn't take a decade or more
before putting the first ""rubber on the road.""  Max Hunter - you
didn't take ten years to build Thor, and by God we're not going to
take ten years to show that low cost, single stage, reusable
aerospace transportation is real.

     We ended the cold war in a few short years.  It took the  same
team here today but a few years to show through the Strategic
Defense Initiative that the cold war must end.  We - you and us -
launched a series of satellites - The Delta experiments - in about
a year apiece.  This, more than anything else signaled our
commitment to end the impasse between ourselves and the Soviet
Union.  Those who made the decisions on both sides have underscored
the importance of our work in bringing about a new international
relationship.

     But it is the same team which is now  putting in place the
framework for an aerospace expansion that is our legacy for the
next generation.  We will make space access routine and affordable.

     We built this magnificent flying machine in two years.  This
summer a true rocket ship will take off and land on earth for the
first time.  Then we can and surely will build in the next three
years a reusable sub-orbital rocket.  It will allow us to use space
rapidly, affordably, and efficiently as no other nation can.  And
yes - we'll make a little money off it too!

     Then - and only then - we'll spend another three years to
build a fully reusable single stage to orbit system.  The DC-3 of
space will be a reality!  We may even be able to use some of the
rocket propulsion breakthroughs of our former cold war adversaries. 
What a wonderful irony if this SDI product and Russian efforts to
counter SDI merge to power mankind's next step to the stars!

     To be sure, we must guard against the temptations to leap to
the final answer.  Robert Goddard's first rockets weren't Saturn
V's!  If we succumb  to the temptation to ask  for just a few extra
dollars and a few more years to jump immediately to a full orbital
system - we will fail.  Max Hunter and his colleagues showed the
way.  Three years and a cloud of dust - in our case rocket
exhausts.  There is no short-cut.  If we expect to reshape the
world again - we must do it one brick at a time.  Minds on tasks at
hand!",0,20newsgroups
20ng_10329,"America West Airline Tickets for Sale

Two $300 vouchers on America West Airlines, which can be used toward the purchase of tickets to wherever that airline goes.  There are no restrictions and no blackout times.  They're legally transferable and can be used anytime before July 1.  Asking $250 each.",0,20newsgroups
elife_6,"The influence of evidence volatility on choice, reaction time and confidence in a perceptual decision",1,elife
ag_123740,West Lafayette abuzz with Boilers #39; lofty ranking Purdue #39;s Boilermakers are breathing thin and rarefied air as they climb up the college football rankings mountain. It #39;s a heady air that hasn #39;t been breathed on the West Lafayette campus in nearly 25 years.,0,ag_news
elife_273,Serotonin signaling mediates protein valuation and aging,1,elife
ag_71670,"East China factory workers protest rising prices, low pensions (Canadian Press) Canadian Press - SHANGHAI (AP) - Thousands of retired textile factory workers in an eastern Chinese industrial centre blocked traffic in a weekend protest over the failure of their pensions to keep pace with rising prices, officials and labour advocates said Monday.",0,ag_news
ag_14186,"7 Killed in Kabul as Bombing Rips US Security Firm At least seven people, including at least two Americans, were killed Sunday when a powerful bomb exploded outside the compound of an American contractor helping to train the Afghan police.",0,ag_news
ag_14234,"Still no fix for US space shuttle One year after a highly critical report urged NASA to develop the means to fix a broken space shuttle in orbit, the US space agency still could not repair",0,ag_news
ag_16886,"Owls use tool to attract food, research shows A clever species of owl baits its lair with dung to attract tasty beetles, offering a remarkable case of an animal using a tool to help it survive.",0,ag_news
elife_147,An electrophysiological marker of arousal level in humans,1,elife
elife_792,Tetramerisation of the CRISPR ring nuclease Crn3/Csx3 facilitates cyclic oligoadenylate cleavage,1,elife
ag_52000,"Alitalia to present finalized restructuring plan LONDON, October 6 (newratings.com) - Alitalia (ALI.FSE) has reached an agreement with its major labour unions and the Italian government, enabling the loss-making airline to access a 400 million (492.",0,ag_news
ag_71311,"Most computer users ignore basic online security measures You may lock your doors and windows - and maybe even activate an alarm system to keep your home protected, but a new study indicates that most of us haven #39;t taken the equivalent of those basic steps when it comes to protecting ourselves when we go online.",0,ag_news
ag_97822,"World Briefs Column A family tug-of-war over whether to reveal Yasser Arafat #39;s cause of death bubbled over in public yesterday, with a brother of the late leader insisting the Palestinian people are entitled to know.",0,ag_news
ag_76846,"RI pushes Thailand to apply justice to restore order in south &lt;b&gt;...&lt;/b&gt; JAKARTA (AFP): Indonesia, the world #39;s most populous Muslim nation, urged Thailand Friday to bring to justice officers responsible for the deaths of more than 80 Muslims in the country #39;s violence-plagued south.",0,ag_news
ag_38505,"Cyclist Richard Virenque retires Paris, France (Sports Network) - French cycling star Richard Virenque announced Friday that he is retiring. Virenque was known for his fierce mountain climbs, but his cycling career was also tainted by his",0,ag_news
elife_1602,Cryo-EM single particle analysis with the Volta phase plate,1,elife
elife_72,The cyanobacterial circadian clock follows midday in vivo and in vitro,1,elife
ag_87815,Internal Investigation Delays WebMethods' Quarterly SEC Filing WebMethods Inc. said yesterday it has delayed filing its quarterly financial results because an employee in one of its international subsidiaries has raised concerns about some of its business dealings.,0,ag_news
elife_794,Identification of a Munc13-sensitive step in chromaffin cell large dense-core vesicle exocytosis,1,elife
elife_1887,Salmonella Typhi and Salmonella Paratyphi A elaborate distinct systemic metabolite signatures during enteric fever,1,elife
ag_69257,"Record 2,600 football hooligans get game bans A record 2,596 convicted hooligans have been barred from attending football matches both at home and abroad for up to ten years, the Home Office announced yesterday.",0,ag_news
elife_236,Admixture into and within sub-Saharan Africa,1,elife
elife_1332,Robo recruitment of the Wave regulatory complex plays an essential and conserved role in midline repulsion,1,elife
ag_49716,United shares soar on takeover speculation Industry sources say US sports tycoon Malcolm Glazer is poised to make a 650 million pounds (\$A1.6 billion) bid for control of English superclub Manchester United.,0,ag_news
elife_1729,Enhancement of encoding and retrieval functions through theta phase-specific manipulation of hippocampus,1,elife
ag_29385,"Japan to confirm what Annan meant by saying Iraq war illegal TOKYO - Japan will try to confirm what UN Secretary General Kofi Annan meant by reportedly saying the US-led invasion of Iraq was an illegal act, top government spokesman Hiroyuki Hosoda said Thursday.",0,ag_news
ag_44032,Gilberto out with back injury Arsenal #39;s Brazilian midfielder Gilberto will be sidelined for at least a month with a back injury according to a club report.  quot;Gilberto is out.,0,ag_news
ag_67545,Unity plea as SBY names Cabinet SUSILO Bambang Yudhoyono began his first day as Indonesia #39;s president yesterday by swearing in his Cabinet - a mix of experts and political appointees whom analysts said could push through,0,ag_news
elife_323,Wild cereal grain consumption among Early Holocene foragers of the Balkans predates the arrival of agriculture,1,elife
ag_114974,MIT team aims to mend broken hearts Work could lead to patch for damaged tissue - MIT engineers are significantly closer to mending broken hearts. In a paper to appear the week of Dec 13 in the online edition of the Proceedings of the National,0,ag_news
elife_1447,The evolutionary history and genomics of European blackcap migration,1,elife
ag_40899,"T-W, Comcast in Pact on Cable Unit Stake  NEW YORK (Reuters) - Time Warner Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TWX.N target=/stocks/quickinfo/fullquote""&gt;TWX.N&lt;/A&gt; and Comcast  Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CMCSA.OQ target=/stocks/quickinfo/fullquote""&gt;CMCSA.OQ&lt;/A&gt; said on Monday they had agreed to a pact  giving Comcast an option to cut its interest in Time Warner  Cable Inc. in exchange for stock in a Time Warner subsidiary  that will hold cable systems and cash.",0,ag_news
20ng_16273,"[Loads of horrendous MZ engine problems deleted]


Yeah, buy a four-stroke.",0,20newsgroups
20ng_5980,": In article <1r6p8oINN8hi@clem.handheld.com>, jmd@cube.handheld.com (Jim De
: >  
: > I have not made up my mind about Waco, but there sure seems to be a group of  
: > devoted government following fanatics willing to believe whatever that  
: > government wants to tell them, without any shred of doubt, nor thought of thier
: > own.  They sure get shrill whenever their belief structure is being shaken.
: > 
: > Kinda reminds you of the BDs, doesn't it?
: > 
: > Jim

: Go to hell. I'm no ""government [-] following fanatic."" Your sweeping
: generalizations evince your own ignorance. What were they supposed to do?
: Just let him be? 

Yes.  Given the history of the BD's and the fact that they were just 
peacefully minding their own business, I think this would have been
the correct course of action in the very beginning.  Everything that
followed was a direct result of the major media fuck-up that the BATF
perpetrated just over 51 days ago.

:Fuck him. Fuck the ATF, too. They should've done it right
: the first time.

: joe.kusmierczak@mail.trincoll.edu

Yep, no doubt about it.  They should have just bombed those kooks
right from the git-go.  Yeah, sure!  So much for any resemblence
to an America that abides by the Constitution.  So much for feeling
safe in your home.  So much for any of the rights enumerated in the
Bill of Rights being upheld.  Why bother?  They just get in the way
of an effective government.  That is, a government of the elite, by
the elite, for the elite.  

Joe, attitudes like yours frighten me.  You have very few facts about
what actually happened, and what information you do have came from a 
single source, the FBI/BATF.  Yet you are more than happy to pronounce
the BD's guilty-as-charged based on this one-sided testimony.  Scary!",0,20newsgroups
ag_35468,"A Cautious Reformer as Indonesia's Next President Susilo Bambang Yudhoyono is considered a steady, broadly educated man who supports the secular tradition of Indonesia.",0,ag_news
ag_56803,Two Men Questioned in Pakistan Bombing (AP) AP - Police said Monday they were questioning two men in connection with a suicide attack at a Shiite mosque in eastern Pakistan that killed three people plus the bomber  #151; the latest violence in what appears to be rising strife between Shiite and Sunni Muslims.,0,ag_news
elife_1981,Co-translational protein targeting facilitates centrosomal recruitment of PCNT during centrosome maturation in vertebrates,1,elife
elife_1433,Combining magnetoencephalography with magnetic resonance imaging enhances learning of surrogate-biomarkers,1,elife
